#     index      Reference     Calculated        Error^2    
       430 4.65081747e+00 4.84861697e+00 3.91246435e-02    
       431 5.10781747e+00 5.22650467e+00 1.40866507e-02    
       432 4.59081747e+00 4.32206655e+00 7.22270596e-02    
       433 6.73381747e+00 6.21655653e+00 2.67558883e-01    
       434 4.83581747e+00 4.69308483e+00 2.03726078e-02    
       435 3.89181747e+00 3.72332114e+00 2.83910143e-02    
       436 5.29781747e+00 5.41960907e+00 1.48331927e-02    
       437 8.67781747e+00 8.01044079e+00 4.45391626e-01    
       438 6.10381747e+00 6.27767663e+00 3.02270059e-02    
       439 3.59281747e+00 3.70613089e+00 1.28399320e-02    
       440 3.06881747e+00 3.17901420e+00 1.21433200e-02    
       441 1.94281747e+00 1.96092370e+00 3.27835693e-04    
       442 1.81181747e+00 1.81298654e+00 1.36671923e-06    
       443 4.93481747e+00 5.09265075e+00 2.49113445e-02    
       444 4.19281747e+00 4.06135124e+00 1.72833687e-02    
       445 1.51958175e+01 1.45012840e+01 4.82376688e-01    
       446 3.07781747e+00 3.17960402e+00 1.03605026e-02    
       447 2.32081747e+00 2.28596432e+00 1.21474180e-03    
