    #index           Reference          Calculated         Polynomials          Dispersion    Electrostatics (Permanent + Induced)    
       214      3.79781747e+00      3.80864226e+00      3.80864226e+00      0.00000000e+00                          0.00000000e+00    
       215      2.93781747e+00      3.17511516e+00      3.17511516e+00      0.00000000e+00                          0.00000000e+00    
       216      5.39681747e+00      5.49286796e+00      5.49286796e+00      0.00000000e+00                          0.00000000e+00    
       217      4.18781747e+00      4.02331019e+00      4.02331019e+00      0.00000000e+00                          0.00000000e+00    
       218      1.56481747e+00      1.60690709e+00      1.60690709e+00      0.00000000e+00                          0.00000000e+00    
       219      7.54281747e+00      7.17986569e+00      7.17986569e+00      0.00000000e+00                          0.00000000e+00    
       220      2.46281747e+00      2.54711591e+00      2.54711591e+00      0.00000000e+00                          0.00000000e+00    
       221      4.80881747e+00      5.11716584e+00      5.11716584e+00      0.00000000e+00                          0.00000000e+00    
       222      2.48681747e+00      2.51788757e+00      2.51788757e+00      0.00000000e+00                          0.00000000e+00    
       223      2.37581747e+00      2.20896942e+00      2.20896942e+00      0.00000000e+00                          0.00000000e+00    
       224      5.25181747e+00      6.00631332e+00      6.00631332e+00      0.00000000e+00                          0.00000000e+00    
       225      3.03481747e+00      2.87879943e+00      2.87879943e+00      0.00000000e+00                          0.00000000e+00    
       226      4.99681747e+00      5.15323043e+00      5.15323043e+00      0.00000000e+00                          0.00000000e+00    
       227      4.32281747e+00      4.13723506e+00      4.13723506e+00      0.00000000e+00                          0.00000000e+00    
       228      3.40881747e+00      3.14756497e+00      3.14756497e+00      0.00000000e+00                          0.00000000e+00    
       229      3.01781747e+00      3.44174956e+00      3.44174956e+00      0.00000000e+00                          0.00000000e+00    
       230      2.05081747e+00      2.20172630e+00      2.20172630e+00      0.00000000e+00                          0.00000000e+00    
       231      5.21581747e+00      5.27842511e+00      5.27842511e+00      0.00000000e+00                          0.00000000e+00    
       232      6.79981747e+00      6.23820260e+00      6.23820260e+00      0.00000000e+00                          0.00000000e+00    
       233      4.93881747e+00      5.05370161e+00      5.05370161e+00      0.00000000e+00                          0.00000000e+00    
       234      3.90581747e+00      4.05738134e+00      4.05738134e+00      0.00000000e+00                          0.00000000e+00    
       235      3.61381747e+00      3.48061053e+00      3.48061053e+00      0.00000000e+00                          0.00000000e+00    
       236      7.20281747e+00      7.28496204e+00      7.28496204e+00      0.00000000e+00                          0.00000000e+00    
       237      5.21981747e+00      4.97904821e+00      4.97904821e+00      0.00000000e+00                          0.00000000e+00    
       238      5.66781747e+00      6.16157257e+00      6.16157257e+00      0.00000000e+00                          0.00000000e+00    
       239      6.67981747e+00      7.01780403e+00      7.01780403e+00      0.00000000e+00                          0.00000000e+00    
       240      3.66481747e+00      3.83419252e+00      3.83419252e+00      0.00000000e+00                          0.00000000e+00    
       241      4.17181747e+00      4.40853478e+00      4.40853478e+00      0.00000000e+00                          0.00000000e+00    
       242      3.72781747e+00      3.84264985e+00      3.84264985e+00      0.00000000e+00                          0.00000000e+00    
       243      3.61481747e+00      3.58755119e+00      3.58755119e+00      0.00000000e+00                          0.00000000e+00    
       244      2.47681747e+00      2.69650892e+00      2.69650892e+00      0.00000000e+00                          0.00000000e+00    
       245      2.22381747e+00      2.29847089e+00      2.29847089e+00      0.00000000e+00                          0.00000000e+00    
       246      1.02238175e+01      9.71451666e+00      9.71451666e+00      0.00000000e+00                          0.00000000e+00    
       247      5.50981747e+00      5.97131216e+00      5.97131216e+00      0.00000000e+00                          0.00000000e+00    
       248      2.36581747e+00      2.58060561e+00      2.58060561e+00      0.00000000e+00                          0.00000000e+00    
       249      2.65481747e+00      2.60766183e+00      2.60766183e+00      0.00000000e+00                          0.00000000e+00    
       250      4.33181747e+00      4.30126119e+00      4.30126119e+00      0.00000000e+00                          0.00000000e+00    
       251      4.69781747e+00      4.93486172e+00      4.93486172e+00      0.00000000e+00                          0.00000000e+00    
       252      6.83981747e+00      6.59879148e+00      6.59879148e+00      0.00000000e+00                          0.00000000e+00    
       253      2.04781747e+00      2.12196052e+00      2.12196052e+00      0.00000000e+00                          0.00000000e+00    
       254      4.22881747e+00      4.70244422e+00      4.70244422e+00      0.00000000e+00                          0.00000000e+00    
       255      6.71181747e+00      6.98107263e+00      6.98107263e+00      0.00000000e+00                          0.00000000e+00    
       256      3.30581747e+00      3.11829467e+00      3.11829467e+00      0.00000000e+00                          0.00000000e+00    
       257      3.20981747e+00      3.34255982e+00      3.34255982e+00      0.00000000e+00                          0.00000000e+00    
       258      7.80681747e+00      7.47470201e+00      7.47470201e+00      0.00000000e+00                          0.00000000e+00    
       259      6.23581747e+00      5.98530812e+00      5.98530812e+00      0.00000000e+00                          0.00000000e+00    
       260      3.82081747e+00      3.44711800e+00      3.44711800e+00      0.00000000e+00                          0.00000000e+00    
       261      4.02981747e+00      3.77904627e+00      3.77904627e+00      0.00000000e+00                          0.00000000e+00    
       262      4.11381747e+00      4.12968117e+00      4.12968117e+00      0.00000000e+00                          0.00000000e+00    
       263      5.44181747e+00      5.53147197e+00      5.53147197e+00      0.00000000e+00                          0.00000000e+00    
       264      7.79181747e+00      8.03069970e+00      8.03069970e+00      0.00000000e+00                          0.00000000e+00    
       265      3.32781747e+00      3.08235590e+00      3.08235590e+00      0.00000000e+00                          0.00000000e+00    
       266      3.51581747e+00      3.37873963e+00      3.37873963e+00      0.00000000e+00                          0.00000000e+00    
       267      2.08181747e+00      2.31748011e+00      2.31748011e+00      0.00000000e+00                          0.00000000e+00    
       268      1.54081747e+00      1.65040986e+00      1.65040986e+00      0.00000000e+00                          0.00000000e+00    
       269      5.01581747e+00      5.17573458e+00      5.17573458e+00      0.00000000e+00                          0.00000000e+00    
       270      2.28081747e+00      2.61064805e+00      2.61064805e+00      0.00000000e+00                          0.00000000e+00    
       271      1.78281747e+00      1.67414163e+00      1.67414163e+00      0.00000000e+00                          0.00000000e+00    
       272      5.77881747e+00      5.70591908e+00      5.70591908e+00      0.00000000e+00                          0.00000000e+00    
       273      9.20817470e-01      9.19262904e-01      9.19262904e-01      0.00000000e+00                          0.00000000e+00    
       274      5.30781747e+00      5.45660295e+00      5.45660295e+00      0.00000000e+00                          0.00000000e+00    
